_id,slug,title,type,subtypeSlug,parentId,order,tags,isVisible,isDraft,isPublic,version,createdAt,updatedAt
69a949b0fde794294d667259,presentazione,Presentazione,ambientazione,introduzione,,33,londra|frankenstein|occulto,true,false,true,1,2026-02-28T08:18:10.412Z,1970-01-01T00:00:00.000Z
69a949b0fde794294d667213,epoca-vittoriana,Epoca Vittoriana,ambientazione,introduzione,,13,,true,false,true,1,2026-02-28T08:18:10.468Z,1970-01-01T00:00:00.000Z
69a949b0fde794294d667219,faq,FAQ - Domande Frequenti,ambientazione,introduzione,,14,faq|aiuto|guida,true,false,true,1,2026-02-28T08:18:10.449Z,1970-01-01T00:00:00.000Z
69a949b0fde794294d66725f,strati-sociali,Strati Sociali,ambientazione,londra-1985,,43,londra|abilità|personaggio|classe sociale,true,false,true,1,2026-02-28T08:18:10.398Z,1970-01-01T00:00:00.000Z
69a949b0fde794294d667236,folklore,Il folklore londinese,ambientazione,londra-1985,,17,londra|folklore|vampiro|frankenstein|jekyll,true,false,true,1,2026-02-28T08:18:10.434Z,1970-01-01T00:00:00.000Z
69a949b0fde794294d66724f,png-noti,PNG noti,ambientazione,londra-1985,,31,,true,false,true,1,2026-02-28T08:18:10.417Z,1970-01-01T00:00:00.000Z
69a949b0fde794294d667246,lore,Lore,ambientazione,londra-1985,,22,londra|superstizione,true,true,true,1,2026-02-28T08:18:10.425Z,1970-01-01T00:00:00.000Z
69a949b1fde794294d6672db,faq-pronomi-ruolo-sociale,Uso dei pronomi e distanza sociale nell'ambientazione,ambientazione,introduzione,69a949b0fde794294d667219,2,londra|abilità|personaggio|londra|vittoriano|classe sociale,true,false,true,1,2026-02-28T08:18:10.493Z,1970-01-01T00:00:00.000Z
69a949b0fde794294d667268,armi,Armi,ambientazione,approfondimenti,,1,londra|combattimento|caratteristiche,true,false,true,1,2026-02-28T08:18:10.613Z,1970-01-01T00:00:00.000Z
69a949b0fde794294d66726e,classi-sociali,Classi Sociali Vittoriane,ambientazione,approfondimenti,,2,società|classi|economia,true,false,true,1,2026-02-28T08:18:10.606Z,1970-01-01T00:00:00.000Z
69a949b0fde794294d667274,cultura,Cultura e Intrattenimento Vittoriano,ambientazione,approfondimenti,,3,cultura|istruzione|entertainment,true,false,true,1,2026-02-28T08:18:10.580Z,1970-01-01T00:00:00.000Z
69a949b1fde794294d667282,forze-ordine,Forze dell'Ordine e Giustizia,ambientazione,approfondimenti,,4,polizia|legge|criminalità,true,false,true,1,2026-02-28T08:18:10.567Z,1970-01-01T00:00:00.000Z
69a949b1fde794294d667294,politica,Politica mondiale,ambientazione,approfondimenti,,5,abilità,true,false,true,1,2026-02-28T08:18:10.560Z,1970-01-01T00:00:00.000Z
69a949b1fde794294d66729a,salute,Salute e Medicina Vittoriana,ambientazione,approfondimenti,,6,medicina|salute|scienza,true,false,true,1,2026-02-28T08:18:10.552Z,1970-01-01T00:00:00.000Z
69a949b1fde794294d6672a3,societa,Società e Norme Vittoriane,ambientazione,approfondimenti,,7,società|norme|gender,true,false,true,1,2026-02-28T08:18:10.533Z,1970-01-01T00:00:00.000Z
69a949b1fde794294d6672b9,storia,Storia dell'Era Vittoriana,ambientazione,approfondimenti,,8,storia|politica|cronologia,true,false,true,1,2026-02-28T08:18:10.517Z,1970-01-01T00:00:00.000Z
69a949b1fde794294d6672c7,vita-quotidiana,Vita Quotidiana Vittoriana,ambientazione,approfondimenti,,9,costume|quotidiano|società,true,false,true,1,2026-02-28T08:18:10.506Z,1970-01-01T00:00:00.000Z
69a949b1fde794294d6673f2,interazioni,Classi sociali - interazioni tra classi,ambientazione,approfondimenti,69a949b0fde794294d66726e,1,londra,true,false,true,1,2026-02-28T08:18:13.911Z,1970-01-01T00:00:00.000Z
69a949b1fde794294d6673fe,middle-class,Classi sociali - Middle class,ambientazione,approfondimenti,69a949b0fde794294d66726e,2,abilità,true,false,true,1,2026-02-28T08:18:13.896Z,1970-01-01T00:00:00.000Z
69a949b1fde794294d667408,lower-class,Classi sociali - Lower Class,ambientazione,approfondimenti,69a949b0fde794294d66726e,3,vittoriano,true,false,true,1,2026-02-28T08:18:13.904Z,1970-01-01T00:00:00.000Z
69a949b1fde794294d667412,upper-class,Classi sociali - Upper class,ambientazione,approfondimenti,69a949b0fde794294d66726e,4,londra|abilità,true,false,true,1,2026-02-28T08:18:13.887Z,1970-01-01T00:00:00.000Z
69a949b1fde794294d6673de,istruzione,Istruzione,ambientazione,approfondimenti,69a949b0fde794294d667274,1,caratteristiche|regole,true,false,true,1,2026-02-28T08:18:13.857Z,1970-01-01T00:00:00.000Z
69a949b1fde794294d6673e3,media,Media,ambientazione,approfondimenti,69a949b0fde794294d667274,2,londra|abilità,true,false,true,1,2026-02-28T08:18:13.851Z,1970-01-01T00:00:00.000Z
69a949b1fde794294d6673eb,sport-svago,Sport e svago,ambientazione,approfondimenti,69a949b0fde794294d667274,3,abilità|regole|classe sociale,true,false,true,1,2026-02-28T08:18:13.844Z,1970-01-01T00:00:00.000Z
69a949b1fde794294d6673af,criminalita,Criminalità,ambientazione,approfondimenti,69a949b1fde794294d667282,1,londra|vittoriano,true,false,true,1,2026-02-28T08:18:10.594Z,1970-01-01T00:00:00.000Z
69a949b1fde794294d6673bb,scotland-yard,Scotland Yard,ambientazione,approfondimenti,69a949b1fde794294d667282,2,londra,true,false,true,1,2026-02-28T08:18:13.873Z,1970-01-01T00:00:00.000Z
69a949b1fde794294d6673ca,storia-forze,Storia e forze di polizia,ambientazione,approfondimenti,69a949b1fde794294d667282,3,londra,true,false,true,1,2026-02-28T08:18:13.867Z,1970-01-01T00:00:00.000Z
69a949b1fde794294d6673d2,ordine-quotidiano,L'ordine quotidiano,ambientazione,approfondimenti,69a949b1fde794294d667282,4,londra|classe sociale,true,false,true,1,2026-02-28T08:18:13.883Z,1970-01-01T00:00:00.000Z
69a949b1fde794294d6673d8,tribunali-pene,Tribunali e pene,ambientazione,approfondimenti,69a949b1fde794294d667282,5,londra,true,false,true,1,2026-02-28T08:18:13.862Z,1970-01-01T00:00:00.000Z
69a949b1fde794294d667390,droghe,Droghe,ambientazione,approfondimenti,69a949b1fde794294d66729a,1,londra|vittoriano|classe sociale,true,false,true,1,2026-02-28T08:18:13.836Z,1970-01-01T00:00:00.000Z
69a949b1fde794294d66739b,medicina,Medicina,ambientazione,approfondimenti,69a949b1fde794294d66729a,2,abilità,true,true,true,1,2026-02-28T08:18:13.827Z,1970-01-01T00:00:00.000Z
69a949b1fde794294d6673a8,psichiatria,Psichiatria e istituzioni,ambientazione,approfondimenti,69a949b1fde794294d66729a,3,londra|vittoriano,true,false,true,1,2026-02-28T08:18:13.819Z,1970-01-01T00:00:00.000Z
69a949b1fde794294d667356,gerarchia-nobiliare,Gerarchia nobiliare,ambientazione,approfondimenti,69a949b1fde794294d6672a3,1,,true,false,true,1,2026-02-28T08:18:13.804Z,1970-01-01T00:00:00.000Z
69a949b1fde794294d667361,donna,La donna vittoriana,ambientazione,approfondimenti,69a949b1fde794294d6672a3,2,abilità|personaggio,true,false,true,1,2026-02-28T08:18:13.813Z,1970-01-01T00:00:00.000Z
69a949b1fde794294d66736a,migrazioni,Migrazioni e immigrazione,ambientazione,approfondimenti,69a949b1fde794294d6672a3,3,,true,false,true,1,2026-02-28T08:18:13.798Z,1970-01-01T00:00:00.000Z
69a949b1fde794294d667372,norme-sociali,Norme sociali,ambientazione,approfondimenti,69a949b1fde794294d6672a3,4,abilità,true,false,true,1,2026-02-28T08:18:13.792Z,1970-01-01T00:00:00.000Z
69a949b1fde794294d667378,sesso-societa,Sesso e società,ambientazione,approfondimenti,69a949b1fde794294d6672a3,5,vittoriano|londra|classe sociale|regole,true,false,true,1,2026-02-28T08:18:13.779Z,1970-01-01T00:00:00.000Z
69a949b1fde794294d667380,sessualita,Sessualità,ambientazione,approfondimenti,69a949b1fde794294d6672a3,6,vittoriano|abilità|regole|classe sociale,true,false,true,1,2026-02-28T08:18:13.767Z,1970-01-01T00:00:00.000Z
69a949b1fde794294d667326,contesto-1885-1895,Contesto storico 1885-1895,ambientazione,approfondimenti,69a949b1fde794294d6672b9,1,londra|jekyll|abilità,true,false,true,1,2026-02-28T08:18:13.762Z,1970-01-01T00:00:00.000Z
69a949b1fde794294d66732b,cronologia-1837-1895,Fatti storici 1837-1895,ambientazione,approfondimenti,69a949b1fde794294d6672b9,2,londra|jekyll,true,false,true,1,2026-02-28T08:18:13.629Z,1970-01-01T00:00:00.000Z
69a949b1fde794294d6672e8,abbigliamento,Abbigliamento e moda,ambientazione,approfondimenti,69a949b1fde794294d6672c7,1,vittoriano|abilità,true,false,true,1,2026-02-28T08:18:13.467Z,1970-01-01T00:00:00.000Z
69a949b1fde794294d6672f0,alimentazione,Alimentazione,ambientazione,approfondimenti,69a949b1fde794294d6672c7,2,londra|regole|classe sociale,true,true,true,1,2026-02-28T08:18:12.809Z,1970-01-01T00:00:00.000Z
69a949b1fde794294d667300,moneta,Moneta,ambientazione,approfondimenti,69a949b1fde794294d6672c7,3,,true,false,true,1,2026-02-28T08:18:12.522Z,1970-01-01T00:00:00.000Z
69a949b1fde794294d667305,tecnologia,Tecnologia domestica,ambientazione,approfondimenti,69a949b1fde794294d6672c7,4,londra,true,false,true,1,2026-02-28T08:18:11.306Z,1970-01-01T00:00:00.000Z
69a949b1fde794294d66730b,trasporti,Trasporti,ambientazione,approfondimenti,69a949b1fde794294d6672c7,5,londra|abilità|classe sociale,true,false,true,1,2026-02-28T08:18:10.905Z,1970-01-01T00:00:00.000Z
69a949b1fde794294d667315,vita-quotidiana-panoramica,Vita quotidiana,ambientazione,approfondimenti,69a949b1fde794294d6672c7,6,londra,true,false,true,1,2026-02-28T08:18:12.097Z,1970-01-01T00:00:00.000Z
69a949b1fde794294d66731c,vita-rurale,Vita rurale,ambientazione,approfondimenti,69a949b1fde794294d6672c7,7,,true,false,true,1,2026-02-28T08:18:10.655Z,1970-01-01T00:00:00.000Z
69a949b1fde794294d6672d7,basic-role-playing,Basic Role Playing,regolamento,regole-base,,5,abilità|caratteristiche|personaggio,true,false,true,1,2026-02-28T08:18:10.386Z,1970-01-01T00:00:00.000Z
